part_number,name,spec_frequency,name_contains_part_number,url
ASE-25.000MHZ-L-R-T,Abracon LLC XTAL OSC XO 25.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASE-25.000MHZ-L-R-T
ECS-2520MVLC-081.92-BN-TR,ECS Inc. XTAL OSC XO 8.1920MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2520MVLC-081.92-BN-TR
CB3LV-3I-25M000000,CTS-Frequency Controls XTAL OSC XO 25.0000MHZ HCMOS TTL,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CB3LV-3I-25M000000
ASE-24.576MHZ-L-C-T,Abracon LLC XTAL OSC XO 24.5760MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASE-24.576MHZ-L-C-T
ECS-2520MVQ-250-BP-TR,ECS Inc. XTAL OSC XO 25.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2520MVQ-250-BP-TR
ASE-24.000MHZ-L-C-T,Abracon LLC XTAL OSC XO 24.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASE-24.000MHZ-L-C-T
CB3-3I-40M000000,CTS-Frequency Controls XTAL OSC XO 40.0000MHZ HCMOS TTL,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CB3-3I-40M000000
CB3LV-3C-20M000000,CTS-Frequency Controls XTAL OSC XO 20.0000MHZ HCMOS TTL,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CB3LV-3C-20M000000
CB3-3C-40M000000,CTS-Frequency Controls XTAL OSC XO 40.0000MHZ HCMOS TTL,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CB3-3C-40M000000
FKSSD1025,Diodes Incorporated XTAL OSC XO 25.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/FKSSD1025
